Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,day,acq_time_str,hours,minutes,season,region_cluster,cluster_fire_count,monthly_cluster_fire_count,brightness_diff,high_risk,frp_category
534857,22.988,92.7815,320.4,2.4,1.5,2023-02-27,749,1,MODIS,71,61.03,298.6,48.7,1,0,2023,2,27,749,7,49,1,2,57778,3915,21.799999999999955,0,High
750708,26.2932,79.9861,311.4,1.3,1.1,2025-11-11,936,1,MODIS,46,61.03,298.2,8.1,1,0,2025,11,11,936,9,36,4,7,41741,5012,13.199999999999989,0,Low
661442,29.523,74.2126,314.2,1.2,1.1,2024-11-20,854,1,MODIS,52,61.03,301.4,8.1,1,0,2024,11,20,854,8,54,4,0,167610,73042,12.800000000000011,0,Low
209036,26.0478,92.4667,311.6,4.1,1.9,2019-04-19,626,1,MODIS,65,6.03,296.0,37.3,1,0,2019,4,19,626,6,26,2,8,33148,7372,15.600000000000025,0,High
41218,26.3362,83.5928,332.0,1.6,1.2,2017-04-13,804,1,MODIS,70,6.2,309.4,26.5,1,0,2017,4,13,804,8,4,2,12,49232,12010,22.600000000000023,0,Medium
308376,30.4902,74.7061,324.0,1.0,1.0,2020-11-05,554,0,MODIS,76,6.03,301.9,14.7,1,0,2020,11,5,554,5,54,4,0,167610,73042,22.100000000000023,0,Medium
717584,25.2362,92.4486,331.9,1.0,1.0,2025-03-31,812,1,MODIS,84,61.03,295.6,25.1,1,0,2025,3,31,812,8,12,2,8,33148,19990,36.29999999999996,1,Medium
28874,28.6371,79.9555,339.2,1.2,1.1,2017-04-01,1705,0,MODIS,100,6.2,297.9,55.1,0,0,2017,4,1,1705,17,5,2,7,41741,15320,41.30000000000001,1,High
232766,30.4592,76.4532,314.1,1.0,1.0,2019-10-19,811,1,MODIS,63,6.03,301.9,5.3,1,0,2019,10,19,811,8,11,4,0,167610,39610,12.200000000000044,0,Low
185900,25.667,90.4515,333.3,1.1,1.1,2019-03-08,727,1,MODIS,86,6.03,303.1,31.5,1,0,2019,3,8,727,7,27,2,8,33148,19990,30.19999999999999,1,High
570162,29.9922,76.3334,333.6,1.3,1.1,2023-05-12,505,0,MODIS,74,61.03,317.7,15.3,1,0,2023,5,12,505,5,5,2,0,167610,31628,15.900000000000034,0,Medium
567452,25.4234,76.3766,357.1,1.0,1.0,2023-04-27,826,1,MODIS,97,61.03,318.5,52.5,1,0,2023,4,27,826,8,26,2,4,76528,39620,38.60000000000002,1,High
301354,31.1929,75.533,314.7,1.0,1.0,2020-10-28,818,1,MODIS,56,6.03,303.6,4.8,1,0,2020,10,28,818,8,18,4,0,167610,39610,11.099999999999966,0,Low
559245,26.3587,93.1309,322.4,2.0,1.4,2023-04-12,743,1,MODIS,73,61.03,300.1,35.1,1,0,2023,4,12,743,7,43,2,11,41370,8105,22.299999999999955,0,High
67141,30.2435,75.7509,321.6,1.0,1.0,2017-10-29,811,1,MODIS,63,6.2,300.8,11.1,1,0,2017,10,29,811,8,11,4,0,167610,39610,20.80000000000001,0,Medium
127875,26.4334,93.1734,315.8,1.1,1.1,2018-04-03,657,1,MODIS,56,6.03,297.4,10.3,1,0,2018,4,3,657,6,57,2,11,41370,8105,18.400000000000038,0,Medium
229818,23.7588,85.8605,308.8,1.5,1.2,2019-06-10,1947,1,MODIS,68,6.03,296.6,10.6,0,2,2019,6,10,1947,19,47,3,12,49232,1005,12.199999999999989,0,Medium
610989,23.4642,92.7286,344.8,1.0,1.0,2024-03-09,738,1,MODIS,93,61.03,299.0,46.7,1,0,2024,3,9,738,7,38,2,2,57778,42248,45.80000000000001,1,High
203517,22.6775,77.5116,337.0,1.1,1.0,2019-04-06,526,0,MODIS,72,6.03,312.2,19.7,1,0,2019,4,6,526,5,26,2,4,76528,39620,24.80000000000001,0,Medium
432086,29.1577,76.1832,313.7,1.0,1.0,2021-11-25,811,1,MODIS,57,6.03,301.0,6.0,1,0,2021,11,25,811,8,11,4,0,167610,73042,12.699999999999989,0,Low
258278,25.195,92.3029,335.2,1.0,1.0,2020-03-12,715,1,MODIS,87,6.03,300.3,31.0,1,0,2020,3,12,715,7,15,2,8,33148,19990,34.89999999999998,1,High
703747,26.0506,94.2975,301.1,2.7,1.6,2025-03-18,2000,1,MODIS,37,61.03,287.7,24.0,0,0,2025,3,18,2000,20,0,2,11,41370,18499,13.400000000000034,0,Medium
152808,30.3961,76.268,315.1,1.0,1.0,2018-10-25,805,1,MODIS,61,6.03,302.6,6.3,1,0,2018,10,25,805,8,5,4,0,167610,39610,12.5,0,Low
283519,23.7791,86.385,305.9,1.1,1.1,2020-04-24,1621,0,MODIS,44,6.03,293.6,5.4,0,2,2020,4,24,1621,16,21,2,12,49232,12010,12.299999999999956,0,Low
66757,29.4804,75.0294,316.9,1.0,1.0,2017-10-29,811,1,MODIS,53,6.2,302.3,6.8,1,0,2017,10,29,811,8,11,4,0,167610,39610,14.599999999999966,0,Low
4933,27.9798,80.3619,313.3,1.1,1.1,2017-02-03,746,1,MODIS,71,6.2,294.9,11.0,1,0,2017,2,3,746,7,46,1,7,41741,3088,18.400000000000038,0,Medium
445889,12.0974,76.8772,328.6,1.0,1.0,2022-03-04,526,0,MODIS,78,6.03,311.3,13.6,1,0,2022,3,4,526,5,26,2,6,13460,3928,17.30000000000001,0,Medium
741549,31.2459,75.0087,330.3,1.0,1.0,2025-05-17,919,1,MODIS,66,61.03,310.1,9.9,1,0,2025,5,17,919,9,19,2,0,167610,31628,20.19999999999999,0,Low
400774,26.5091,83.5421,336.0,1.0,1.0,2021-04-29,510,0,MODIS,81,6.03,309.3,20.8,1,0,2021,4,29,510,5,10,2,7,41741,15320,26.69999999999999,1,Medium
161362,26.8367,83.6354,310.4,1.0,1.0,2018-11-08,506,0,MODIS,52,6.03,298.9,4.8,1,0,2018,11,8,506,5,6,4,7,41741,5012,11.5,0,Low
458949,31.8206,77.3285,324.3,1.1,1.0,2022-03-19,759,1,MODIS,50,6.03,296.7,23.3,1,0,2022,3,19,759,7,59,2,0,167610,2014,27.600000000000023,0,Medium
359469,21.36,70.2618,325.1,1.0,1.0,2021-03-20,601,0,MODIS,42,6.03,311.3,5.5,1,0,2021,3,20,601,6,1,2,10,21095,5604,13.800000000000011,0,Low
458728,20.8926,85.1154,331.4,1.2,1.1,2022-03-19,755,1,MODIS,73,6.03,314.5,17.9,1,0,2022,3,19,755,7,55,2,1,73921,19544,16.899999999999977,0,Medium
14752,15.3517,78.7385,337.4,1.0,1.0,2017-03-03,807,1,MODIS,77,6.2,314.1,23.4,1,0,2017,3,3,807,8,7,2,14,36148,12659,23.299999999999955,0,Medium
667568,23.0072,79.3417,308.1,1.2,1.1,2024-12-16,442,0,MODIS,65,61.03,292.2,9.5,1,0,2024,12,16,442,4,42,1,5,47348,2981,15.900000000000034,0,Low
366653,23.8229,77.9254,332.1,1.1,1.0,2021-03-26,524,0,MODIS,73,6.03,317.0,14.1,1,0,2021,3,26,524,5,24,2,4,76528,13167,15.100000000000025,0,Medium
2857,25.9659,94.3113,324.9,1.9,1.3,2017-01-21,638,1,MODIS,83,6.2,290.8,54.6,1,0,2017,1,21,638,6,38,1,11,41370,4936,34.099999999999966,1,High
495551,31.0565,75.4976,316.5,2.0,1.4,2022-10-23,752,1,MODIS,70,6.03,302.0,20.7,1,0,2022,10,23,752,7,52,4,0,167610,39610,14.5,0,Medium
180914,22.3665,87.0876,314.8,1.3,1.1,2019-02-13,720,1,MODIS,51,6.03,303.0,5.6,1,0,2019,2,13,720,7,20,1,12,49232,3888,11.800000000000011,0,Low
108093,21.7223,83.8147,326.5,1.3,1.1,2018-03-12,733,1,MODIS,70,6.03,309.4,13.9,1,0,2018,3,12,733,7,33,2,1,73921,19544,17.100000000000023,0,Medium
399005,25.7027,78.5172,337.9,1.3,1.1,2021-04-26,752,1,MODIS,76,6.03,321.8,22.5,1,0,2021,4,26,752,7,52,2,4,76528,39620,16.099999999999966,0,Medium
660055,25.362,77.1815,310.1,1.3,1.1,2024-11-18,911,1,MODIS,39,61.03,299.0,6.2,1,0,2024,11,18,911,9,11,4,4,76528,9210,11.100000000000025,0,Low
